Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
wmsdcxlmsrts1,10.201.1.119,LMS Backup RealTime 1 SCADA System for NE Assets,Liquids SCADA,WMSSCADA,✔,✔,wmsdcxlmsrts1.WMSSCADA.local,92,Broken Arrow,"MS Windows Server 2003, Standard Edition SP2",,,,
wmsdcxlmsrts2,10.201.1.120,LMS Backup RealTime 2 SCADA System for NE Assets,Liquids SCADA,WMSSCADA,✔,✔,wmsdcxlmsrts2.WMSSCADA.local,93,Broken Arrow,"MS Windows Server 2003, Standard Edition SP2",,,,
wmsdcxopc01,,Backup Kepware,G&P SCADA,,,,,94,,,,,,
wmsdcxrcs1,172.26.191.56,Backup RCS,FCA/NE SCADA,WMSSCADA,,,wmsdcxrcs1.WMSSCADA.local,95,Broken Arrow,,,,,
wmsdcxrmahis1,10.201.1.163,RMA Backup Historian 1 for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmsdcxrmahis1.WMSSCADA.local,96,Broken Arrow,,,,,
wmsdcxrmahis2,10.201.1.164,RMA Backup Historian 2 for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmsdcxrmahis2.WMSSCADA.local,97,Broken Arrow,,,,,
wmsdcxrmarts1,10.201.1.111,RMA Backup RealTime 1 SCADA System for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmsdcxrmarts1.WMSSCADA.local,98,Broken Arrow,,,,,
wmsdcxrmarts2,10.201.1.112,RMA Backup RealTime 2 SCADA System for RMA and GCA,RMA/GCA,WMSSCADA,✔,✔,wmsdcxrmarts2.WMSSCADA.local,99,Broken Arrow,,,,,
WMSTUTAB03,172.26.192.85,ActiveBatch Server,G&P SCADA,WILLIAMS,✔,,WMSTUTAB03.WILLIAMS.com,100,Tulsa,MS Server 2008 R2 Standard SP1,,,,
wmstutabsvc,172.26.192.197,ActiveBatch Server,G&P SCADA,WILLIAMS,✔,,wmstutabsvc.WILLIAMS.com,101,Tulsa,,,,,
WMSTUTACM01,172.26.192.112,G+P ClearSCADA ACM Server Liquids,ClearSCADA,WILLIAMS,,,WMSTUTACM01.WILLIAMS.com,102,Tulsa,,,,,
WMSTUTDACM01,,G+P ClearSCADA ACM Server?,,,,,,103,,,,,,
WMSTUTDACM02,,G+P ClearSCADA ACM Server?,,,,,,104,,,,,,
wmstutdc01,192.168.6.189,G&P Domain Controller 1 for all 3 Tulsa systems,G&P SCADA,WMSSCADA,,,wmstutdc01.WMSSCADA.local,105,Tulsa,,,,,
wmstutdc02,192.168.6.101,G&P Domain Controller 2 for all 3 Tulsa systems,G&P SCADA,WMSSCADA,,,wmstutdc02.WMSSCADA.local,106,Tulsa,,,,,
wmstutdes101,172.26.191.183,G&P Terminal Server,G&P SCADA,WMSSCADA,,,wmstutdes101.WMSSCADA.local,107,Tulsa,,,,,
wmstutdes102,172.26.191.202,G&P Terminal Server,G&P SCADA,WMSSCADA,,,wmstutdes102.WMSSCADA.local,108,Tulsa,,,,,
wmstutdes103,172.26.191.203,G&P Terminal Server,G&P SCADA,WMSSCADA,✔,,wmstutdes103.WMSSCADA.local,109,Tulsa,,,,,
wmstutdes104,172.26.191.204,G&P Terminal Server,G&P SCADA,WMSSCADA,✔,,wmstutdes104.WMSSCADA.local,110,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,All possible Tulsa systems accessable from ezXOS,
wmstutdevabsvc,10.27.9.18,G&P ActiveBatch Development Server,G&P SCADA,WILLIAMS,,,wmstutdevabsvc.WILLIAMS.com,111,Tulsa,,,,,
wmstutdevdss1,172.26.192.63,G&P Development DSS 1,G&P SCADA,WILLIAMS,,,wmstutdevdss1.WILLIAMS.com,112,Tulsa,,,,,
wmstutdevgas01,,FCA Development Gas,FCA/NE SCADA,,,,,113,,,,,,
